id,type,arabe,translitteration,a_dire,unite,fichier
1,letter,"أَ","a","Lettre Alif / Hamza — son « a »",1,items/1.mp3
2,letter,"بَ","ba","Lettre Bā — son « ba »",1,items/2.mp3
3,letter,"تَ","ta","Lettre Tā — son « ta »",1,items/3.mp3
4,letter,"ثَ","tha","Lettre Thā — son « tha »",1,items/4.mp3
5,letter,"جَ","ja","Lettre Jīm — son « ja »",1,items/5.mp3
6,letter,"حَ","ḥa","Lettre Ḥā — son « ḥa »",1,items/6.mp3
7,letter,"خَ","kha","Lettre Khā — son « kha »",1,items/7.mp3
8,letter,"دَ","da","Lettre Dāl — son « da »",1,items/8.mp3
9,letter,"ذَ","dha","Lettre Dhāl — son « dha »",1,items/9.mp3
10,letter,"رَ","ra","Lettre Rā — son « ra »",1,items/10.mp3
11,letter,"زَ","za","Lettre Zāy — son « za »",1,items/11.mp3
12,letter,"سَ","sa","Lettre Sīn — son « sa »",1,items/12.mp3
13,letter,"شَ","cha","Lettre Shīn — son « cha »",1,items/13.mp3
14,letter,"صَ","ṣa","Lettre Ṣād — son « ṣa »",1,items/14.mp3
15,letter,"ضَ","ḍa","Lettre Ḍād — son « ḍa »",1,items/15.mp3
16,letter,"طَ","ṭa","Lettre Ṭā — son « ṭa »",1,items/16.mp3
17,letter,"ظَ","ẓa","Lettre Ẓā — son « ẓa »",1,items/17.mp3
18,letter,"عَ","ʿa","Lettre ʿAyn — son « ʿa »",1,items/18.mp3
19,letter,"غَ","gha","Lettre Ghayn — son « gha »",1,items/19.mp3
20,letter,"فَ","fa","Lettre Fā — son « fa »",1,items/20.mp3
21,letter,"قَ","qa","Lettre Qāf — son « qa »",1,items/21.mp3
22,letter,"كَ","ka","Lettre Kāf — son « ka »",1,items/22.mp3
23,letter,"لَ","la","Lettre Lām — son « la »",1,items/23.mp3
24,letter,"مَ","ma","Lettre Mīm — son « ma »",1,items/24.mp3
25,letter,"نَ","na","Lettre Nūn — son « na »",1,items/25.mp3
26,letter,"هَ","ha","Lettre Hā — son « ha »",1,items/26.mp3
27,letter,"وَ","wa","Lettre Wāw — son « wa »",1,items/27.mp3
28,letter,"يَ","ya","Lettre Yā — son « ya »",1,items/28.mp3
29,letter,"إِ","i","Lettre Alif / Hamza — son « i »",2,items/29.mp3
30,letter,"بِ","bi","Lettre Bā — son « bi »",2,items/30.mp3
31,letter,"تِ","ti","Lettre Tā — son « ti »",2,items/31.mp3
32,letter,"ثِ","thi","Lettre Thā — son « thi »",2,items/32.mp3
33,letter,"جِ","ji","Lettre Jīm — son « ji »",2,items/33.mp3
34,letter,"حِ","ḥi","Lettre Ḥā — son « ḥi »",2,items/34.mp3
35,letter,"خِ","khi","Lettre Khā — son « khi »",2,items/35.mp3
36,letter,"دِ","di","Lettre Dāl — son « di »",2,items/36.mp3
37,letter,"ذِ","dhi","Lettre Dhāl — son « dhi »",2,items/37.mp3
38,letter,"رِ","ri","Lettre Rā — son « ri »",2,items/38.mp3
39,letter,"زِ","zi","Lettre Zāy — son « zi »",2,items/39.mp3
40,letter,"سِ","si","Lettre Sīn — son « si »",2,items/40.mp3
41,letter,"شِ","chi","Lettre Shīn — son « chi »",2,items/41.mp3
42,letter,"صِ","ṣi","Lettre Ṣād — son « ṣi »",2,items/42.mp3
43,letter,"ضِ","ḍi","Lettre Ḍād — son « ḍi »",2,items/43.mp3
44,letter,"طِ","ṭi","Lettre Ṭā — son « ṭi »",2,items/44.mp3
45,letter,"ظِ","ẓi","Lettre Ẓā — son « ẓi »",2,items/45.mp3
46,letter,"عِ","ʿi","Lettre ʿAyn — son « ʿi »",2,items/46.mp3
47,letter,"غِ","ghi","Lettre Ghayn — son « ghi »",2,items/47.mp3
48,letter,"فِ","fi","Lettre Fā — son « fi »",2,items/48.mp3
49,letter,"قِ","qi","Lettre Qāf — son « qi »",2,items/49.mp3
50,letter,"كِ","ki","Lettre Kāf — son « ki »",2,items/50.mp3
51,letter,"لِ","li","Lettre Lām — son « li »",2,items/51.mp3
52,letter,"مِ","mi","Lettre Mīm — son « mi »",2,items/52.mp3
53,letter,"نِ","ni","Lettre Nūn — son « ni »",2,items/53.mp3
54,letter,"هِ","hi","Lettre Hā — son « hi »",2,items/54.mp3
55,letter,"وِ","wi","Lettre Wāw — son « wi »",2,items/55.mp3
56,letter,"يِ","yi","Lettre Yā — son « yi »",2,items/56.mp3
57,letter,"أُ","ou","Lettre Alif / Hamza — son « ou »",2,items/57.mp3
58,letter,"بُ","bou","Lettre Bā — son « bou »",2,items/58.mp3
59,letter,"تُ","tou","Lettre Tā — son « tou »",2,items/59.mp3
60,letter,"ثُ","thou","Lettre Thā — son « thou »",2,items/60.mp3
61,letter,"جُ","jou","Lettre Jīm — son « jou »",2,items/61.mp3
62,letter,"حُ","ḥou","Lettre Ḥā — son « ḥou »",2,items/62.mp3
63,letter,"خُ","khou","Lettre Khā — son « khou »",2,items/63.mp3
64,letter,"دُ","dou","Lettre Dāl — son « dou »",2,items/64.mp3
65,letter,"ذُ","dhou","Lettre Dhāl — son « dhou »",2,items/65.mp3
66,letter,"رُ","rou","Lettre Rā — son « rou »",2,items/66.mp3
67,letter,"زُ","zou","Lettre Zāy — son « zou »",2,items/67.mp3
68,letter,"سُ","sou","Lettre Sīn — son « sou »",2,items/68.mp3
69,letter,"شُ","chou","Lettre Shīn — son « chou »",2,items/69.mp3
70,letter,"صُ","ṣou","Lettre Ṣād — son « ṣou »",2,items/70.mp3
71,letter,"ضُ","ḍou","Lettre Ḍād — son « ḍou »",2,items/71.mp3
72,letter,"طُ","ṭou","Lettre Ṭā — son « ṭou »",2,items/72.mp3
73,letter,"ظُ","ẓou","Lettre Ẓā — son « ẓou »",2,items/73.mp3
74,letter,"عُ","ʿou","Lettre ʿAyn — son « ʿou »",2,items/74.mp3
75,letter,"غُ","ghou","Lettre Ghayn — son « ghou »",2,items/75.mp3
